id	species	gene_names	gene_synonyms	description	term_ids	sources
0	zma	GRMZM2G069028|ns1	ns1-R	Plants (stems) do not elongate in response to gibberellins. Plants are reduced in height. extremely shortened internodes. The margin domain of both blade and sheath is missing. leaves are very narrow along their whole length. The plant is shorter.  internode elongation reduced.  Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins. The margin domain of both blade and sheath is missing, thus leaves are very narrow along their whole length.  Leaves are just as long as normal sibs. The plant is shorter, due to less internode elongation.	GO:0009739|PATO:0002302|PO:0000003|PATO:0000569|PO:0020142|PATO:0000574|PO:0009025|PATO:0002000|PATO:0000599	Plant PhenomeNET
1	zma	NM_001111772.1|ns2		Plants (stems) do not elongate in response to gibberellins. Plants are reduced in height. extremely shortened internodes.  Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.	GO:0009739|PATO:0002302|PO:0000003|PATO:0000569|PO:0020142|PATO:0000574	Plant PhenomeNET
2	ath	At3g49600|UBP26|AT3G49600		50% defective seeds. Low penetrance of endosperm development without fertilization. Reduced fertility. Shriveled seeds. 50% defective seeds. Low penetrance of endosperm development without fertilization. Reduced fertility. Shriveled seeds.  In homozygous plants 20% of ovules fail to form seeds. Ovules that do not produce seeds do not produce embryo sacs. Among the remaining ovule that do form embryo sacs and embryos more than 50% of the embryos abort at various stages. With fewer seeds the siliques of homozygous plants are shorter. Later formed flowers have non-dehiscent anthers. Plants have short siliques producing about 80% shriveled seeds with autonomous endosperm development and arrested embryos.	PO:0009010|PATO:0001241|PATO:0000460|GO:2000014|PATO:0001236|PO:0000003|PATO:0001834|PATO:0002460	Plant PhenomeNET|TAIR
3	mtr	Medtr3g021350|cyp716A12|Medtr3g021180	lha	Impaired hemolytic saponin synthesis. Plant growth stunted. A cytochrome P450 gene (CYP716A12) is involved in an early step in saponin biosynthesis and is found in most tissues.  CYP716A12 loss-of-function mutants do not produce hemolytic saponins and only synthetize soyasaponins, and were thus named lacking hemolytic activity (lha).  CYP716A12 catalyzes the oxidation of _-amyrin and erythrodiol at the C-28 position, yielding oleanolic acid. Transcriptome changes in the lha mutant showed a modulation in the main steps of the triterpenic saponin biosynthetic pathway, which includes squalene cyclization, _-amyrin oxidation, and glycosylation.  Growth of homozygous lha/lha plants was stunted.	GO:0016135|PATO:0001236|PATO:0000460|PO:0000003|PATO:0000587	Plant PhenomeNET
4	osa	Os01g0129200|SL1	stl1.1	degenerated lemma. degenerated palea. stamen nonfunctional . male sterile. stamens malformed . stamens transformed to pistils . Mutant floret has 3 ovaries. female fertile. a mutant floret has degenerated lemma and palea, so that they fail to enclose the stamens and pistil. The mutant does not produce normal stamens and is thus male sterile. Usually, one floret forms one caryopsis. Although mutant is male sterile, it can produce seeds when pollinated with pollen from wild type plants. In that case one or two naked seeds can be formed in a single floret. So, the mutant is female fertile. In general, a mutant floret contains many pistils but no stamens, indicating that the stamens are transformed to pistils. In some mutant florets, pistilloid stamens containing a filament tipped by malformed tissue and deformed stigma or one to three stigmas were observed. In the cross section of a wild type floret six filaments representing the six stamens and an ovary representing the pistil in the middle can be seen clearly, while in a mutant floret, some filaments and some pistilloid tissues, e.g., the ovary-like or malformed tissues are observed. The pistilloid tissues are counterparts of the wild type stamens. In the longitudinal section of a mutant floret, three ovaries can be seen clearly. .	PO:0009037|PATO:0000646|PO:0007130|PO:0009038|PO:0009029|PATO:0001511|PO:0000003|PATO:0000890|PO:0009082|PATO:0002002|PO:0009030|PATO:0002001|PO:0009072|PATO:0000888	Plant PhenomeNET
5	zma	GRMZM2G024973|d9	D9-N2319|D9|MaizeGDB:GRMZM2G024973	whole plant short. leaves broad. compact  tassel. anthers in the ears. andromonoecious. short leaves. compact leaves. broad leaves. A small or dwarf plant but  less extreme than dwarf. may have broad leaves and compact heavy tassel. Male floral parts (anthers, sometimes glumes) on the ear. Producing both bisexual and male flowers on the same plant. Synonym: anther ear. . short, compact, broad leaves, andromonoecious. responds to gibberellins.	PO:0000003|PATO:0000569|PO:0009025|PATO:0000600|PO:0020126|PATO:0001485|PO:0006354|PATO:0002002|PO:0009066|PATO:0001894|PATO:0000460|PATO:0000574|PATO:0000587|GO:0005634|GO:0048831|GO:2000028	Plant PhenomeNET|MaizeGDB
6	zma	GRMZM2G144744|d8	D8-Mpl|D8-N1591|D8-1|D8|MaizeGDB:GRMZM2G144744	whole plant short. leaves broad. compact  tassel. Ear florets are hermaphroditic. most easily observed in unfertilized ear. . Dwarf. tassel branches few. Producing both bisexual and male flowers on the same plant. Synonym: andromonoecious. anthers in the ears. Plant does not reposnd to giberellin. Plant produces many lateral branches (tillers) at its base. andromonoecious. short leaves. compact leaves. broad leaves. leaf width excess. A small or dwarf plant but  less extreme than dwarf. may have broad leaves and compact heavy tassel. Ear florets are hermaphroditic. most easily observed in unfertilized ear. Dwarf. Responds to gibberellins. Anthers in tassel remain in glumes, tassel branches few. Producing both bisexual and male flowers on the same plant. Synonym: andromonoecious. Ear florets are hermaphroditic. most easily observed in unfertilized ear. Dwarf. Responds to gibberellins. Anthers in tassel remain in glumes, tassel branches few. Producing both bisexual and male flowers on the same plant. Synonym: andromonoecious.      short, compact, broad leaves, andromonoecious. responds to gibberellins. Male floral parts (anthers, sometimes glumes) on the ear. Producing both bisexual and male flowers on the same plant. Synonym: anther ear. . short, compact, broad leaves, andromonoecious. responds to gibberellins. The leaf blade is broader than wild type sibs.	PO:0000003|PATO:0000569|PO:0009025|PATO:0000600|PO:0020126|PATO:0001485|PO:0006354|PATO:0002002|PO:0009066|PATO:0002001|PO:0006323|PATO:0001894|PATO:0000460|GO:0009739|PATO:0002302|PO:0005001|PATO:0000574|PATO:0000587|GO:0005634	Plant PhenomeNET|MaizeGDB
7	osa	Os05g0333200|D1	D1.1	small grain. dwarf. short stems. short leaves. broad leaves . dark green leaves. erect paincles. compact panicles. small glume. round glumes. thick internodes. A typical small grain dwarf type with short and stout stems, short, sinuate but broad leaves with dark green color, erect and compact panicles and small, round floral glumes. Internodes are thick and sometimes the second internode does not elongate.	PO:0009001|PATO:0000587|PO:0028002|PO:0006341|PATO:0000569|PO:0009047|PO:0009025|PATO:0000574|PATO:0000600|PATO:0001249|PO:0009049|PATO:0002180|PATO:0001485|PO:0009039|PATO:0000411|PO:0005005|PATO:0000591	Plant PhenomeNET
8	ath	At4g13430|LeuC1		Abnormal aliphatic glucosinolate composition. Elevated levels of intermediates of leucine biosynthesis. Elevated levels of intermediates of methionine chain elongation. Abnormal aliphatic glucosinolate composition. Elevated levels of intermediates of leucine biosynthesis and methionine chain elongation.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:24279|PATO:0001162|CHEBI:24431|GO:0009098|GO:0009086	Plant PhenomeNET
9	ath	At2g36390|SBE2.1|AT2G36390		Abnormal amylopectin structure.  No visible phenotype. Strong reduction in maltose accumulation compared to the be2-1 be3-2 double mutant. Displays the same profile of polymerization (DP) as the corresponding be2 or be3 mutant. Absence of starch and accumulation of very high levels of water-soluble glucans. Contains 90% of &alpha.-maltose and 10% of &beta.-maltose. Increased starch phosphorylase activity compared to wild type. Low growth and flowering rates. No starch branching enzyme activity detected. Pale colour. Reduced size of the mature plant. Thirty days after seed germination, the fresh weight of this mutant is one-fifth of that of wild type. The levels of sucrose, fructose, glucose 6-phosphate and glucose 1-phosphate are not significantly deviating from those of wild type or the single mutants. The maltose accumulates mostly in the cytosol (~80%). The mutant is still able to produce siliques and viable seeds. Water-soluble glycans are composed of very short malto-oligosaccharides made of 80% maltose, 14% maltotriose and 6% glucose. Wilting of the inflorescence. DP 6-7 and DP 5-9 chains are slightly decreased, whereas DP 10-16 chains are slightly increased (DP, degree of polymerization). Starch branching enzyme activity unaffected (similar to wild type levels). Starch granules are slightly larger than those of wild type.	PO:0000003|PATO:0000141|PATO:0000460|CHEBI:28057	Plant PhenomeNET|TAIR
